Inclination_ref,Orientation_ref,M7,M8
5,90,0.0023489081029027976,-0.0029880667703593416
5,90,0.0014221280350908095,-0.0029880667703593416
5,90,-0.005352953839948553,-0.005640575240303997
5,90,-0.008037420243266036,-0.008580705110604098
5,90,-0.012719257482385218,-0.010418286279541661
5,90,-0.016474314653692413,-0.013646037550197205
5,90,-0.031095069171760848,-0.026285400199150356
5,90,-0.057604174904520994,-0.05677326863682749
5,90,-0.059761335407186825,-0.06188653797647983
5,90,-0.0626695073441141,-0.06909305195205237
5,90,-0.06493852061358484,-0.07566040726016834
5,90,-0.06691991248270011,-0.08419317547071321
5,90,-0.06856574605140071,-0.09068063594539713
5,90,-0.06987602131968663,-0.09820672925469792
5,90,-0.0706589906873209,-0.10333597756103668
5,90,-0.0708986751876171,-0.11997008188159324
5,90,-0.07094661208767634,-0.12398080251988304
5,90,-0.07096259105436276,-0.12879047149249354
5,90,-0.07096259105436276,-0.13168266446273438
5,90,-0.07096259105436276,-0.13425527809924698
5,90,-0.07096259105436276,-0.13636450170185357
5,90,-0.07096259105436276,-0.13826599873753678
5,90,-0.07096259105436276,-0.13989585333955099
5,90,-0.07096259105436276,-0.14083861237404938
5,90,-0.07096259105436276,-0.14163756070837005
5,90,-0.07096259105436276,-0.14202105590884398
5,90,-0.07096259105436276,-0.14210095074227605
5,90,-0.07096259105436276,-0.1420370348755304
5,90,-0.07096259105436276,-0.14216486660902172
5,90,-0.07096259105436276,-0.1419411610754119
5,90,-0.07096259105436276,-0.14186126624197987
5,90,-0.07096259105436276,-0.14184528727529344
5,90,-0.07096259105436276,-0.14176539244186137
5,90,-0.07096259105436276,-0.14181332934192062
5,90,-0.07096259105436276,-0.14158962380831083
5,90,-0.07096259105436276,-0.14171745554180212
5,90,-0.07096259105436276,-0.14181332934192062
5,90,-0.07096259105436276,-0.14182930830860702
5,90,-0.07096259105436276,-0.1419251821087255
5,90,-0.07094661208767634,-0.14187724520866626
5,90,-0.07093063312098993,-0.14174941347517495
5,90,-0.07093063312098993,-0.1418932241753527
5,90,-0.07093063312098993,-0.14184528727529344
5,90,-0.07093063312098993,-0.14171745554180212
5,90,-0.07093063312098993,-0.14186126624197987
